item,airport_code,airport_name,city,state,date,incident_type,location
Mace/Pepper Spray,IWA,Williams Gateway Airport,Mesa,AZ,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,MAF,Midland International Airport,Midland,TX,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,BNA,Nashville International Airport,Nashville,TN,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",BNA,Nashville International Airport,Nashville,TN,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,ORF,Norfolk International Airport,Norfolk,VA,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Bludgeoning,OMA,Eppley Airfield,Omaha,NE,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,SNA,John Wayne Airport,Orange County,CA,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,SNA,John Wayne Airport,Orange County,CA,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,SNA,John Wayne Airport,Orange County,CA,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Bludgeoning,MCO,Orlando International Airport,Orlando,FL,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",PHL,Philadelphia International Airport,Philadelphia,PA,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",PHL,Philadelphia International Airport,Philadelphia,PA,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Bludgeoning,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Mace/Pepper Spray,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Mace/Pepper Spray,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",PDX,Portland International Airport,Portland,OR,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,PWM,Portland International Jetport,Portland,ME,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,RDU,Raleigh-Durham International Airport,Rdu Airport,NC,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,RNO,Reno-Tahoe International Airport,Reno,NV,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,RST,Rochester International Airport,Rochester,MN,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,SJT,San Angelo Regional Airport/Mathis Field,San Angelo,TX,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,SFO,San Francisco International Airport,San Francisco,CA,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,SJC,San Jose International Airport,San Jose,CA,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,SJU,Luis Munoz Marin International Airport,San Juan,PR,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,SEA,Seattle/Tacoma International Airport,Seattle,WA,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,GEG,Spokane International Airport,Spokane,WA,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,TUL,Tulsa International Airport,Tulsa,OK,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",ICT,Wichita Mid-Continent Airport,Wichita,KS,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",ICT,Wichita Mid-Continent Airport,Wichita,KS,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",ICT,Wichita Mid-Continent Airport,Wichita,KS,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",ICT,Wichita Mid-Continent Airport,Wichita,KS,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,ICT,Wichita Mid-Continent Airport,Wichita,KS,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Bludgeoning,ILM,Wilmington International Airport,Wilmington,NC,10/2/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,ABQ,Albuquerque International Sunport,Albuquerque,NM,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,AEX,Alexandria International Airport,Alexandria,LA,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",ABE,Lehigh Valley International Airport,Allentown,PA,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,AMA,Amarillo International Airport,Amarillo,TX,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,AMA,Amarillo International Airport,Amarillo,TX,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,ANC,Anchorage International Airport,Anchorage,AK,10/3/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
Part of Firearms or Ammunition,ANC,Anchorage International Airport,Anchorage,AK,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,AUS,Austin-Bergstrom International Airport,Austin,TX,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,BTR,Baton Rouge International Airport,Baton Rouge,LA,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Mace/Pepper Spray,BIL,Billings Logan International Airport,Billings,MT,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Stun Guns/Shocking Devices,BIL,Billings Logan International Airport,Billings,MT,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Mace/Pepper Spray,BOS,Boston Logan International Airport,Boston,MA,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Stun Guns/Shocking Devices,BUR,Burbank Bob Hope Airport,Burbank,CA,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",CLT,Charlotte/Douglas International Airport,Charlotte,NC,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",MDW,Chicago Midway Airport,Chicago,IL,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,ORD,Chicago O'hare International Airport,Chicago,IL,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,CRP,Corpus Christi International Airport,Corpus Christi,TX,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",DAY,Dayton International Airport,Dayton,OH,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,DAY,Dayton International Airport,Dayton,OH,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,DEN,Denver International Airport,Denver,CO,10/3/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
Firearms,DEN,Denver International Airport,Denver,CO,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,FAI,Fairbanks International Airport,Fairbanks,AK,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
BB/Paint/Flare/Spear/Pellet Guns,FAT,Fresno Air Terminal,Fresno,CA,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
